# ZhangYu 16-Mar-2018 

router

# node	comment	yPos	xPos	systemID
Node0	NA	798	950	0	
Node1	NA	383	179	1	
Node2	NA	589	570	2	
Node3	NA	732	872	3	
Node4	NA	414	888	4	
Node5	NA	112	56	5	
Node6	NA	484	579	6	
Node7	NA	994	162	7	
Node8	NA	387	693	8	
Node9	NA	47	493	9	
Node10	NA	483	775	10	
Node11	NA	908	641	11	

link

#srcNode	dstNode	bandwidth	metric	delay	queue	
Node3	Node1	1000.0kbps	30	20ms	
Node3	Node0	1000.0kbps	30	20ms	
Node3	Node2	1000.0kbps	30	20ms	
Node4	Node0	1000.0kbps	30	20ms	
Node4	Node2	1000.0kbps	30	20ms	
Node4	Node3	1000.0kbps	30	20ms	
Node5	Node1	1000.0kbps	30	20ms	
Node5	Node2	1000.0kbps	30	20ms	
Node5	Node4	1000.0kbps	30	20ms	
Node6	Node5	1000.0kbps	30	20ms	
Node6	Node1	1000.0kbps	30	20ms	
Node6	Node3	1000.0kbps	30	20ms	
Node7	Node4	1000.0kbps	30	20ms	
Node7	Node2	1000.0kbps	30	20ms	
Node7	Node6	1000.0kbps	30	20ms	
Node8	Node1	1000.0kbps	30	20ms	
Node8	Node2	1000.0kbps	30	20ms	
Node8	Node6	1000.0kbps	30	20ms	
Node9	Node2	1000.0kbps	30	20ms	
Node9	Node3	1000.0kbps	30	20ms	
Node9	Node8	1000.0kbps	30	20ms	
Node10	Node3	1000.0kbps	30	20ms	
Node10	Node2	1000.0kbps	30	20ms	
Node10	Node1	1000.0kbps	30	20ms	
Node11	Node6	1000.0kbps	30	20ms	
Node11	Node3	1000.0kbps	30	20ms	
Node11	Node5	1000.0kbps	30	20ms	
Node0	Node8	1000.0kbps	30	20ms	
Node0	Node2	1000.0kbps	30	20ms	
Node0	Node7	1000.0kbps	30	20ms	
Node1	Node7	1000.0kbps	30	20ms	
Node1	Node2	1000.0kbps	30	20ms	
Node1	Node4	1000.0kbps	30	20ms	
