# ZhangYu 03-Nov-2014 

router

# node	comment	yPos	xPos	systemID
Node0	NA	76	1	0	
Node1	NA	13	30	1	
Node2	NA	24	63	2	
Node3	NA	93	51	3	
Node4	NA	16	21	4	
Node5	NA	39	81	5	
Node6	NA	83	61	6	
Node7	NA	61	33	7	
Node8	NA	89	59	8	
Node9	NA	86	90	9	
Node10	NA	65	52	10	
Node11	NA	15	35	11	
Node12	NA	34	54	12	
Node13	NA	83	18	13	
Node14	NA	18	53	14	
Node15	NA	95	41	15	

link

#srcNode	dstNode	bandwidth	metric	delay	queue	
Node2	Node1	100.0kbps	30	20ms	
Node2	Node0	100.0kbps	30	20ms	
Node3	Node0	100.0kbps	30	20ms	
Node3	Node2	100.0kbps	30	20ms	
Node4	Node2	100.0kbps	30	20ms	
Node4	Node1	100.0kbps	30	20ms	
Node5	Node2	100.0kbps	30	20ms	
Node5	Node1	100.0kbps	30	20ms	
Node6	Node3	100.0kbps	30	20ms	
Node6	Node4	100.0kbps	30	20ms	
Node7	Node3	100.0kbps	30	20ms	
Node7	Node0	100.0kbps	30	20ms	
Node8	Node1	100.0kbps	30	20ms	
Node8	Node3	100.0kbps	30	20ms	
Node9	Node6	100.0kbps	30	20ms	
Node9	Node3	100.0kbps	30	20ms	
Node10	Node8	100.0kbps	30	20ms	
Node10	Node4	100.0kbps	30	20ms	
Node11	Node1	100.0kbps	30	20ms	
Node11	Node2	100.0kbps	30	20ms	
Node12	Node11	100.0kbps	30	20ms	
Node12	Node5	100.0kbps	30	20ms	
Node13	Node2	100.0kbps	30	20ms	
Node13	Node3	100.0kbps	30	20ms	
Node14	Node10	100.0kbps	30	20ms	
Node14	Node2	100.0kbps	30	20ms	
Node15	Node10	100.0kbps	30	20ms	
Node15	Node1	100.0kbps	30	20ms	
Node0	Node1	100.0kbps	30	20ms	
Node0	Node8	100.0kbps	30	20ms	
Node1	Node12	100.0kbps	30	20ms	
Node1	Node10	100.0kbps	30	20ms	
