# ZhangYu 21-Dec-2014 

router

# node	comment	yPos	xPos	systemID
Node0	NA	35	1	0	
Node1	NA	89	99	1	
Node2	NA	54	48	2	
Node3	NA	71	59	3	
Node4	NA	83	18	4	
Node5	NA	65	66	5	
Node6	NA	0	99	6	
Node7	NA	48	71	7	
Node8	NA	71	58	8	
Node9	NA	36	97	9	
Node10	NA	45	24	10	
Node11	NA	39	99	11	
Node12	NA	92	15	12	
Node13	NA	55	93	13	
Node14	NA	88	4	14	
Node15	NA	38	40	15	
Node16	NA	79	8	16	
Node17	NA	22	68	17	

link

#srcNode	dstNode	bandwidth	metric	delay	queue	
Node2	Node0	100.0kbps	30	20ms	
Node2	Node1	100.0kbps	30	20ms	
Node3	Node2	100.0kbps	30	20ms	
Node3	Node0	100.0kbps	30	20ms	
Node4	Node2	100.0kbps	30	20ms	
Node4	Node3	100.0kbps	30	20ms	
Node5	Node2	100.0kbps	30	20ms	
Node5	Node3	100.0kbps	30	20ms	
Node6	Node5	100.0kbps	30	20ms	
Node6	Node2	100.0kbps	30	20ms	
Node7	Node3	100.0kbps	30	20ms	
Node7	Node2	100.0kbps	30	20ms	
Node8	Node5	100.0kbps	30	20ms	
Node8	Node3	100.0kbps	30	20ms	
Node9	Node3	100.0kbps	30	20ms	
Node9	Node6	100.0kbps	30	20ms	
Node10	Node4	100.0kbps	30	20ms	
Node10	Node2	100.0kbps	30	20ms	
Node11	Node7	100.0kbps	30	20ms	
Node11	Node1	100.0kbps	30	20ms	
Node12	Node8	100.0kbps	30	20ms	
Node12	Node4	100.0kbps	30	20ms	
Node13	Node5	100.0kbps	30	20ms	
Node13	Node10	100.0kbps	30	20ms	
Node14	Node4	100.0kbps	30	20ms	
Node14	Node12	100.0kbps	30	20ms	
Node15	Node10	100.0kbps	30	20ms	
Node15	Node13	100.0kbps	30	20ms	
Node17	Node13	100.0kbps	30	20ms	
Node17	Node3	100.0kbps	30	20ms	
Node16	Node8	100.0kbps	30	20ms	
Node16	Node12	100.0kbps	30	20ms	
Node0	Node10	100.0kbps	30	20ms	
Node0	Node14	100.0kbps	30	20ms	
Node1	Node7	100.0kbps	30	20ms	
Node1	Node4	100.0kbps	30	20ms	
