# ZhangYu 16-Mar-2018 

router

# node	comment	yPos	xPos	systemID
Node0	NA	435	668	0	
Node1	NA	65	610	1	
Node2	NA	58	49	2	
Node3	NA	417	205	3	
Node4	NA	518	967	4	
Node5	NA	427	561	5	
Node6	NA	449	611	6	
Node7	NA	450	525	7	
Node8	NA	532	623	8	
Node9	NA	266	197	9	
Node10	NA	986	104	10	
Node11	NA	854	661	11	
Node12	NA	598	35	12	
Node13	NA	473	830	13	
Node14	NA	283	743	14	
Node15	NA	963	552	15	
Node16	NA	364	1	16	
Node17	NA	746	564	17	
Node18	NA	940	517	18	
Node19	NA	958	986	19	
Node20	NA	694	835	20	
Node21	NA	505	766	21	
Node22	NA	473	143	22	
Node23	NA	615	931	23	

link

#srcNode	dstNode	bandwidth	metric	delay	queue	
Node5	Node2	30.0kbps	30	20ms	
Node5	Node4	30.0kbps	30	20ms	
Node5	Node3	30.0kbps	30	20ms	
Node5	Node0	30.0kbps	30	20ms	
Node5	Node1	30.0kbps	30	20ms	
Node6	Node5	30.0kbps	30	20ms	
Node6	Node0	30.0kbps	30	20ms	
Node6	Node4	30.0kbps	30	20ms	
Node6	Node2	30.0kbps	30	20ms	
Node6	Node3	30.0kbps	30	20ms	
Node7	Node1	30.0kbps	30	20ms	
Node7	Node5	30.0kbps	30	20ms	
Node7	Node4	30.0kbps	30	20ms	
Node7	Node6	30.0kbps	30	20ms	
Node7	Node3	30.0kbps	30	20ms	
Node8	Node7	30.0kbps	30	20ms	
Node8	Node6	30.0kbps	30	20ms	
Node8	Node3	30.0kbps	30	20ms	
Node8	Node4	30.0kbps	30	20ms	
Node8	Node5	30.0kbps	30	20ms	
Node9	Node3	30.0kbps	30	20ms	
Node9	Node1	30.0kbps	30	20ms	
Node9	Node2	30.0kbps	30	20ms	
Node9	Node5	30.0kbps	30	20ms	
Node9	Node6	30.0kbps	30	20ms	
Node10	Node5	30.0kbps	30	20ms	
Node10	Node9	30.0kbps	30	20ms	
Node10	Node6	30.0kbps	30	20ms	
Node10	Node4	30.0kbps	30	20ms	
Node10	Node0	30.0kbps	30	20ms	
