# ZhangYu 21-Dec-2014 

router

# node	comment	yPos	xPos	systemID
Node0	NA	75	62	0	
Node1	NA	74	88	1	
Node2	NA	62	51	2	
Node3	NA	98	31	3	
Node4	NA	82	85	4	
Node5	NA	5	38	5	
Node6	NA	17	75	6	
Node7	NA	39	50	7	
Node8	NA	31	58	8	
Node9	NA	7	16	9	
Node10	NA	73	18	10	
Node11	NA	65	92	11	
Node12	NA	0	45	12	
Node13	NA	15	50	13	
Node14	NA	3	3	14	
Node15	NA	53	42	15	
Node16	NA	48	21	16	
Node17	NA	68	51	17	
Node18	NA	49	21	18	
Node19	NA	58	61	19	
Node20	NA	73	74	20	
Node21	NA	91	88	21	
Node22	NA	74	90	22	
Node23	NA	63	50	23	
Node24	NA	24	92	24	
Node25	NA	52	4	25	

link

#srcNode	dstNode	bandwidth	metric	delay	queue	
Node4	Node1	30.0kbps	30	20ms	
Node4	Node3	30.0kbps	30	20ms	
Node4	Node0	30.0kbps	30	20ms	
Node4	Node2	30.0kbps	30	20ms	
Node5	Node2	30.0kbps	30	20ms	
Node5	Node1	30.0kbps	30	20ms	
Node5	Node4	30.0kbps	30	20ms	
Node5	Node0	30.0kbps	30	20ms	
Node6	Node5	30.0kbps	30	20ms	
Node6	Node2	30.0kbps	30	20ms	
Node6	Node0	30.0kbps	30	20ms	
Node6	Node1	30.0kbps	30	20ms	
Node7	Node2	30.0kbps	30	20ms	
Node7	Node4	30.0kbps	30	20ms	
Node7	Node6	30.0kbps	30	20ms	
Node7	Node1	30.0kbps	30	20ms	
Node8	Node5	30.0kbps	30	20ms	
Node8	Node6	30.0kbps	30	20ms	
Node8	Node0	30.0kbps	30	20ms	
Node8	Node7	30.0kbps	30	20ms	
Node9	Node8	30.0kbps	30	20ms	
Node9	Node6	30.0kbps	30	20ms	
Node9	Node5	30.0kbps	30	20ms	
Node9	Node0	30.0kbps	30	20ms	
Node10	Node0	30.0kbps	30	20ms	
Node10	Node6	30.0kbps	30	20ms	
Node10	Node3	30.0kbps	30	20ms	
Node10	Node7	30.0kbps	30	20ms	
Node11	Node9	30.0kbps	30	20ms	
Node11	Node1	30.0kbps	30	20ms	
Node11	Node0	30.0kbps	30	20ms	
Node11	Node6	30.0kbps	30	20ms	
Node12	Node9	30.0kbps	30	20ms	
Node12	Node5	30.0kbps	30	20ms	
Node12	Node6	30.0kbps	30	20ms	
Node12	Node8	30.0kbps	30	20ms	
Node13	Node4	30.0kbps	30	20ms	
Node13	Node6	30.0kbps	30	20ms	
Node13	Node12	30.0kbps	30	20ms	
Node13	Node8	30.0kbps	30	20ms	
Node14	Node5	30.0kbps	30	20ms	
Node14	Node12	30.0kbps	30	20ms	
Node14	Node9	30.0kbps	30	20ms	
Node14	Node10	30.0kbps	30	20ms	
Node15	Node0	30.0kbps	30	20ms	
Node15	Node8	30.0kbps	30	20ms	
Node15	Node2	30.0kbps	30	20ms	
Node15	Node6	30.0kbps	30	20ms	
Node17	Node0	30.0kbps	30	20ms	
Node17	Node2	30.0kbps	30	20ms	
Node17	Node3	30.0kbps	30	20ms	
Node17	Node4	30.0kbps	30	20ms	
Node16	Node2	30.0kbps	30	20ms	
Node16	Node7	30.0kbps	30	20ms	
Node16	Node15	30.0kbps	30	20ms	
Node16	Node10	30.0kbps	30	20ms	
Node19	Node2	30.0kbps	30	20ms	
Node19	Node13	30.0kbps	30	20ms	
Node19	Node14	30.0kbps	30	20ms	
Node19	Node7	30.0kbps	30	20ms	
Node18	Node9	30.0kbps	30	20ms	
Node18	Node2	30.0kbps	30	20ms	
Node18	Node19	30.0kbps	30	20ms	
Node18	Node10	30.0kbps	30	20ms	
Node21	Node16	30.0kbps	30	20ms	
Node21	Node17	30.0kbps	30	20ms	
Node21	Node2	30.0kbps	30	20ms	
Node21	Node4	30.0kbps	30	20ms	
Node20	Node1	30.0kbps	30	20ms	
Node20	Node12	30.0kbps	30	20ms	
Node20	Node8	30.0kbps	30	20ms	
Node20	Node11	30.0kbps	30	20ms	
Node23	Node2	30.0kbps	30	20ms	
Node23	Node20	30.0kbps	30	20ms	
Node23	Node11	30.0kbps	30	20ms	
Node23	Node19	30.0kbps	30	20ms	
Node22	Node1	30.0kbps	30	20ms	
Node22	Node20	30.0kbps	30	20ms	
Node22	Node8	30.0kbps	30	20ms	
Node22	Node19	30.0kbps	30	20ms	
Node25	Node10	30.0kbps	30	20ms	
Node25	Node18	30.0kbps	30	20ms	
Node25	Node6	30.0kbps	30	20ms	
Node25	Node5	30.0kbps	30	20ms	
Node24	Node20	30.0kbps	30	20ms	
Node24	Node4	30.0kbps	30	20ms	
Node24	Node6	30.0kbps	30	20ms	
Node24	Node12	30.0kbps	30	20ms	
Node0	Node2	30.0kbps	30	20ms	
Node0	Node7	30.0kbps	30	20ms	
Node0	Node19	30.0kbps	30	20ms	
Node0	Node21	30.0kbps	30	20ms	
Node1	Node0	30.0kbps	30	20ms	
Node1	Node2	30.0kbps	30	20ms	
Node1	Node21	30.0kbps	30	20ms	
Node1	Node17	30.0kbps	30	20ms	
Node2	Node20	30.0kbps	30	20ms	
Node2	Node11	30.0kbps	30	20ms	
Node2	Node8	30.0kbps	30	20ms	
Node2	Node14	30.0kbps	30	20ms	
Node3	Node1	30.0kbps	30	20ms	
Node3	Node18	30.0kbps	30	20ms	
Node3	Node21	30.0kbps	30	20ms	
Node3	Node16	30.0kbps	30	20ms	
